informal;normalized
qarsh-la;qarshi-la
qlay;qalay
qziiq;qiziq
ketayapmz;ketayapmiz
yaxsih-ku;yaxshi-ku
yaxshi-kuu;yaxshi-ku
qiilgan;qilgan
qlgan;qilgan
nrsa yo‘q;narsa yo‘q
bo‘lmadyimi;bo‘lmaydimi
qilaaypman;qilayapman
uchnu;uchun
keelibman;kelibman
yozibmna;yozibman
ox‘p;xo‘p
nehca pul;necha pul
keladiy-a;keladi-ya
yaxxshi;yaxshi
yarashadi-yaaa;yarashadi-ya
uchuun;uchun
qarwi-la;qarshi-la
bormaymman;bormayman
yaxsih;yaxshi
saolm;salom
qiziqchha;qiziqcha
qilayaptiii;qilayapti
qilggan;qilgan
qisqcha;qisqacha
bilmadim-kuuu;bilmadim-ku
xabaar;xabar
yaaxshi;yaxshi
yoqmayd-iku;yoqmaydi-ku
uchhun;uchun
yaxxshi-ku;yaxshi-ku
iqziqcha;qiziqcha
no‘maluum;no‘malum
yaxsh-iku;yaxshi-ku
yaxwi-ku;yaxshi-ku
bo‘‘lmaydimi;bo‘lmaydimi
yoqmayd-ku;yoqmaydi-ku
qizziq;qiziq
qarshii-la;qarshi-la
nima qilayapsaaan;nima qilayapsan
gap  yo‘q;gap yo‘q
g‘ihst;g‘isht
yaxsshi;yaxshi
borrmayman;bormayman
qalay iwlar;qalay ishlar
klsasik;klassik
yaxhsi;yaxshi
qalay ishlaaar;qalay ishlar
ktvotti;ketvotti
o‘rtachaa;o‘rtacha
bilmadm-ku;bilmadim-ku
bo‘lmaaydimi;bo‘lmaydimi
klibman;kelibman
ovoz berayaptiii;ovoz berayapti
qalay ishlra;qalay ishlar
narsa yyo‘q;narsa yo‘q
yarshadi-ya;yarashadi-ya
no‘‘malum;no‘malum
ketvottti;ketvotti
qalaysn;qalaysan
yoo‘q;yo‘q
keatyapmiz;ketayapmiz
so‘radii;so‘radi
o‘rtoooq;o‘rtoq
hammaa;hamma
kelibmaan;kelibman
bo‘mlaydimi;bo‘lmaydimi
qilgaaan;qilgan
gap yo‘‘q;gap yo‘q
yaxshhi;yaxshi
qilayappman;qilayapman
mn;men
zgina;ozgina
qalaaysan;qalaysan
yxashi;yaxshi
qila olmayamn;qila olmayman
yoqmaydi-kku;yoqmaydi-ku
g‘alba;g‘alaba
yommonmi;yomonmi
ketayyapmiz;ketayapmiz
no‘mlum;no‘malum
iltimoos;iltimos
qilayaptii;qilayapti
qiqsacha;qisqacha
yomonm;yomonmi
qilaypati;qilayapti
qiziq4a;qiziqcha
gapp yo‘q;gap yo‘q
kelibamn;kelibman
ko‘rmaymaan;ko‘rmayman
nima qilayapsaan;nima qilayapsan
bilmdim-ku;bilmadim-ku
bowqa joy;boshqa joy
ekladi-ya;keladi-ya
borr-u;bor-u
xop‘;xo‘p
o‘rtaccha;o‘rtacha
qlaay;qalay
gisht;g‘isht
keilbman;kelibman
yoqmaydi-k;yoqmaydi-ku
soo‘radi;so‘radi
o‘rtacah;o‘rtacha
qiizq;qiziq
ketayapmiiz;ketayapmiz
g‘ishht;g‘isht
o‘rtachaaa;o‘rtacha
kimmdir;kimdir
psatroq;pastroq
ketyaapmiz;ketayapmiz
qimmattmi;qimmatmi
qilaayapti;qilayapti
ob‘lmaydi;bo‘lmaydi
yoqmadyi-ku;yoqmaydi-ku
qilgaan;qilgan
bol‘adi;bo‘ladi
qaysi-al;qaysi-la
qarshhi-la;qarshi-la
ltimos;iltimos
qillayapti;qilayapti
qillgan;qilgan
ketvvotti;ketvotti
narsa yoq;narsa yo‘q
yaxhsi-ku;yaxshi-ku
xabra;xabar
yqmaydi-ku;yoqmaydi-ku
yaxshi-kku;yaxshi-ku
aqysi-la;qaysi-la
bordim-uu;bordim-u
ko‘mrayman;ko‘rmayman
g‘aalaba;g‘alaba
nima qilaayapsan;nima qilayapsan
kormayman;ko‘rmayman
yaxshi--ku;yaxshi-ku
qays-ila;qaysi-la
g‘iiisht;g‘isht
ne4a pul;necha pul
qysi-la;qaysi-la
qilaypman;qilayapman
suuper;super
yasxhi;yaxshi
topshiriqnni;topshiriqni
yarahsadi-ya;yarashadi-ya
qilgn;qilgan
yrashadi-ya;yarashadi-ya
kimdri;kimdir
ozgin;ozgina
meeen;men
no‘maulm;no‘malum
qaaly ishlar;qalay ishlar
ketaypmiz;ketayapmiz
ketaaypmiz;ketayapmiz
borribman;boribman
sallom;salom
yoqmaydii-ku;yoqmaydi-ku
nimadr;nimadir
ayxshi;yaxshi
qla olmayman;qila olmayman
normaal;normal
narrsa yo‘q;narsa yo‘q
supr;super
pastrooq;pastroq
obshqa;boshqa
iqlayapman;qilayapman
qalay islhar;qalay ishlar
yoqqmaydi;yoqmaydi
bilmadim-kku;bilmadim-ku
qisqaacha;qisqacha
niima qilayapsan;nima qilayapsan
pstroq;pastroq
bordiim-u;bordim-u
pastrroq;pastroq
hecch;hech
boribmaan;boribman
qilgganmi edi;qilganmi edi
qisqachha;qisqacha
supeeer;super
hamam;hamma
bo‘lmyadi;bo‘lmaydi
zoo‘r;zo‘r
necha puul;necha pul
yoqmmaydi;yoqmaydi
inmadir;nimadir
qizqi;qiziq
qimmamti;qimmatmi
billmadim-ku;bilmadim-ku
lkassik;klassik
no‘mlaum;no‘malum
bilmaymman;bilmayman
boormayman;bormayman
qarshi--la;qarshi-la
kelibmn;kelibman
supper;super
boshqaa joy;boshqa joy
bilmaymaan;bilmayman
yozibmaaan;yozibman
yqmaydi;yoqmaydi
ko‘rmaymn;ko‘rmayman
no‘malm;no‘malum
qimmatm;qimmatmi
narsay o‘q;narsa yo‘q
topshiriqin;topshiriqni
g‘alabba;g‘alaba
nimadri;nimadir
nima qilaypsan;nima qilayapsan
iltimooos;iltimos
qimmatmii;qimmatmi
qisqachaaa;qisqacha
topshiirqni;topshiriqni
qziq;qiziq
noormal;normal
nima qialyapsan;nima qilayapsan
qilayyapman;qilayapman
bo‘lmaydiii;bo‘lmaydi
qalay ishlr;qalay ishlar
maylii-mi;mayli-mi
topshiriqn;topshiriqni
qisqqacha;qisqacha
oz‘r;zo‘r
boshqaaa;boshqa
yo‘‘q;yo‘q
yaxshi-uk;yaxshi-ku
bor-;bor-u
boshqaj oy;boshqa joy
qiziqchaaa;qiziqcha
qilayappti;qilayapti
ketvtti;ketvotti
qilganmi eddi;qilganmi edi
qalay ishlaar;qalay ishlar
qilgna;qilgan
normaaal;normal
keldi-ya;keladi-ya
nimdir;nimadir
no‘mmalum;no‘malum
qizqcha;qiziqcha
nima qilyaapsan;nima qilayapsan
obribman;boribman
yoqmaydi-uk;yoqmaydi-ku
illtimos;iltimos
‘gisht;g‘isht
qilaypti;qilayapti
yomonmiii;yomonmi
no‘malmu;no‘malum
booshqa;boshqa
ovoz berayappti;ovoz berayapti
s‘radi;so‘radi
ovoz beryapti;ovoz berayapti
ogzina;ozgina
salooom;salom
salm;salom
litimos;iltimos
bo‘lmayydi;bo‘lmaydi
so‘rradi;so‘radi
hceh;hech
bo‘lmadyi;bo‘lmaydi
n‘omalum;no‘malum
yomonm edi;yomonmi edi
necha puuul;necha pul
spuer;super
yoqmaydii;yoqmaydi
iltims;iltimos
qilaypaman;qilayapman
qilayapt;qilayapti
yoqmydi;yoqmaydi
blimadim-ku;bilmadim-ku
b‘lmaydimi;bo‘lmaydimi
bor--u;bor-u
qlaay ishlar;qalay ishlar
yoqmayddi;yoqmaydi
hamma;hamma
topshhiriqni;topshiriqni
yaxshik-u;yaxshi-ku
ko‘rmaymaaan;ko‘rmayman
yomonmi eedi;yomonmi edi
ketvottii;ketvotti
o‘ratcha;o‘rtacha
yoqmayid;yoqmaydi
qila lomayman;qila olmayman
nars ayo‘q;narsa yo‘q
bor-uuu;bor-u
g‘laaba;g‘alaba
yaxshhi-ku;yaxshi-ku
ktevotti;ketvotti
rahmta;rahmat
broibman;boribman
boshqqa;boshqa
ob‘lmaydimi;bo‘lmaydimi
keldai-ya;keladi-ya
yomqaydi;yoqmaydi
kimdr;kimdir
kelladi-ya;keladi-ya
oymonmi;yomonmi
galaba;g‘alaba
ovoz berrayapti;ovoz berayapti
qisqaccha;qisqacha
narsa yoo‘q;narsa yo‘q
yzibman;yozibman
qila lmayman;qila olmayman
qilganm iedi;qilganmi edi
qila olmyaman;qila olmayman
sor‘adi;so‘radi
saloom;salom
klaassik;klassik
qiila olmayman;qila olmayman
yraashadi-ya;yarashadi-ya
boribbman;boribman
bormyman;bormayman
‘rtoq;o‘rtoq
qilgnmi edi;qilganmi edi
boribmman;boribman
qilganm edi;qilganmi edi
qziiqcha;qiziqcha
klssik;klassik
kmidir;kimdir
rahmaaat;rahmat
boo‘lmaydi;bo‘lmaydi
yoqmaydi-kuuu;yoqmaydi-ku
gap oy‘q;gap yo‘q
s‘oradi;so‘radi
boladi;bo‘ladi
hamm;hamma
qalysan;qalaysan
iqla olmayman;qila olmayman
qisaqcha;qisqacha
narssa yo‘q;narsa yo‘q
voz berayapti;ovoz berayapti
sper;super
nima qilayapsna;nima qilayapsan
mayli-m;mayli-mi
qallay;qalay
nrmal;normal
bribman;boribman
qiilayapti;qilayapti
gp yo‘q;gap yo‘q
narsa yo‘‘‘q;narsa yo‘q
yoqmaaydi-ku;yoqmaydi-ku
kladi-ya;keladi-ya
ayrashadi-ya;yarashadi-ya
qalya;qalay
gap y‘q;gap yo‘q
yozibmman;yozibman
bo‘lmaydimii;bo‘lmaydimi
borbman;boribman
tophsiriqni;topshiriqni
bordim-;bordim-u
yoqmayid-ku;yoqmaydi-ku
qalay ishalr;qalay ishlar
eklibman;kelibman
b‘ladi;bo‘ladi
qilagnmi edi;qilganmi edi
qlayapman;qilayapman
ilttimos;iltimos
nmiadir;nimadir
qialyapman;qilayapman
qaysi-laaa;qaysi-la
nom‘alum;no‘malum
so‘raid;so‘radi
supeer;super
yoomnmi edi;yomonmi edi
mayyli-mi;mayli-mi
bo‘lmayydimi;bo‘lmaydimi
passtroq;pastroq
mayli-im;mayli-mi
boru-;bor-u
mayl-mi;mayli-mi
bo‘lmayid;bo‘lmaydi
yozibmn;yozibman
pastroooq;pastroq
g‘isth;g‘isht
bormaymn;bormayman
qilganim edi;qilganmi edi
pastrq;pastroq
qisqachaa;qisqacha
boshqa jy;boshqa joy
qilayapmman;qilayapman
qalayssan;qalaysan
nima qilaaypsan;nima qilayapsan
g‘issht;g‘isht
yqomaydi;yoqmaydi
topshiriiqni;topshiriqni
topshriqni;topshiriqni
ayxshi-ku;yaxshi-ku
uchuuun;uchun
g‘alabaa;g‘alaba
hammma;hamma
qilayaapman;qilayapman
yomonm iedi;yomonmi edi
nechaa pul;necha pul
qila olmaymn;qila olmayman
encha pul;necha pul
agp yo‘q;gap yo‘q
bo‘lmaydmi;bo‘lmaydimi
ovoz brayapti;ovoz berayapti
on‘malum;no‘malum
keladi-yaa;keladi-ya
qilayapmn;qilayapman
qizqicha;qiziqcha
ucuhn;uchun
boshaq;boshqa
ozzgina;ozgina
ehch;hech
yomnmi edi;yomonmi edi
yommonmi edi;yomonmi edi
kalssik;klassik
bosshqa;boshqa
bo‘lmmaydi;bo‘lmaydi
qaalaysan;qalaysan
bilmaymn;bilmayman
xabbar;xabar
qarrshi-la;qarshi-la
qalay sihlar;qalay ishlar
boshhqa joy;boshqa joy
normla;normal
yarrashadi-ya;yarashadi-ya
o‘‘rtoq;o‘rtoq
yxashi-ku;yaxshi-ku
qarshil-a;qarshi-la
kimdiir;kimdir
o‘rtcha;o‘rtacha
bilmadimk-u;bilmadim-ku
qilyaapman;qilayapman
kmdir;kimdir
g‘siht;g‘isht
qilayyapti;qilayapti
bro-u;bor-u
qimamtmi;qimmatmi
yozibamn;yozibman
g‘alabaaa;g‘alaba
qays-la;qaysi-la
bo‘lmaydimiii;bo‘lmaydimi
kllassik;klassik
ozginna;ozgina
yomomni;yomonmi
bo‘lmayddi;bo‘lmaydi
g‘sht;g‘isht
bordim--u;bordim-u
ncha pul;necha pul
no‘mallum;no‘malum
yarashadi--ya;yarashadi-ya
qasrhi-la;qarshi-la
bordimm-u;bordim-u
yoq;yo‘q
qalasyan;qalaysan
qila olmaymaan;qila olmayman
g‘iwt;g‘isht
qilganmi edii;qilganmi edi
bilmdaim-ku;bilmadim-ku
n‘malum;no‘malum
bilmadiim-ku;bilmadim-ku
topshiriqnii;topshiriqni
ketvottiii;ketvotti
bilmadim--ku;bilmadim-ku
yoqmaydiii;yoqmaydi
obr-u;bor-u
o‘‘rtacha;o‘rtacha
ymonmi edi;yomonmi edi
necha ppul;necha pul
bimladim-ku;bilmadim-ku
qalay iishlar;qalay ishlar
ovoz beraypati;ovoz berayapti
qilagn;qilgan
yomonmi ed;yomonmi edi
obrmayman;bormayman
qila olmmayman;qila olmayman
yoqmadyi;yoqmaydi
‘ortoq;o‘rtoq
nima iqlayapsan;nima qilayapsan
borbiman;boribman
g‘alaaba;g‘alaba
necha pl;necha pul
borimban;boribman
qligan;qilgan
qalayysan;qalaysan
qaly ishlar;qalay ishlar
nima qilayyapsan;nima qilayapsan
gap yo‘‘‘q;gap yo‘q
kimddir;kimdir
qarshi-laa;qarshi-la
ketvott;ketvotti
qiziqcah;qiziqcha
yaarshadi-ya;yarashadi-ya
ozigna;ozgina
blmadim-ku;bilmadim-ku
ko‘rmaymman;ko‘rmayman
kettvotti;ketvotti
k‘ormayman;ko‘rmayman
bolmaydi;bo‘lmaydi
yarasshadi-ya;yarashadi-ya
qlganmi edi;qilganmi edi
kidmir;kimdir
ketaayapmiz;ketayapmiz
qilyapman;qilayapman
bormyaman;bormayman
nima qillayapsan;nima qilayapsan
qilayapmaaan;qilayapman
ovoz berayapt;ovoz berayapti
apstroq;pastroq
o‘rtaacha;o‘rtacha
so‘rdai;so‘radi
bo‘‘ladi;bo‘ladi
o‘rttoq;o‘rtoq
bilmadim-uk;bilmadim-ku
xaabr;xabar
qallaysan;qalaysan
no‘amlum;no‘malum
yoqmayydi;yoqmaydi
qaly;qalay
hmama;hamma
nima qilayapsn;nima qilayapsan
ovoz berayyapti;ovoz berayapti
arhmat;rahmat
qalaaay;qalay
bo‘laddi;bo‘ladi
kelimban;kelibman
nceha pul;necha pul
malyi-mi;mayli-mi
rahamt;rahmat
qil olmayman;qila olmayman
bo‘lad;bo‘ladi
rahmt;rahmat
bo‘lmmaydimi;bo‘lmaydimi
kettayapmiz;ketayapmiz
gapy o‘q;gap yo‘q
nimaq ilayapsan;nima qilayapsan
boshqa  joy;boshqa joy
qyasi-la;qaysi-la
boshqaa;boshqa
g‘allaba;g‘alaba
qisqcaha;qisqacha
vooz berayapti;ovoz berayapti
yaarashadi-ya;yarashadi-ya
so‘rad;so‘radi
bshqa;boshqa
o‘rtahca;o‘rtacha
narsa y‘q;narsa yo‘q
g‘‘alaba;g‘alaba
bol‘maydimi;bo‘lmaydimi
oy‘q;yo‘q
b‘olmaydi;bo‘lmaydi
o‘troq;o‘rtoq
y‘q;yo‘q
haamma;hamma
qliayapman;qilayapman
bosqha joy;boshqa joy
bilmayyman;bilmayman
ko‘rmyaman;ko‘rmayman
yomqaydi-ku;yoqmaydi-ku
kelad-iya;keladi-ya
qisqahca;qisqacha
yarashdi-ya;yarashadi-ya
yarashhadi-ya;yarashadi-ya
nimdair;nimadir
ko‘rmyman;ko‘rmayman
rhamat;rahmat
boribmaaan;boribman
iqsqacha;qisqacha
bilmayamn;bilmayman
boshqa joooy;boshqa joy
yomonim edi;yomonmi edi
qiziqch;qiziqcha
qimmatim;qimmatmi
o‘rtooq;o‘rtoq
kteayapmiz;ketayapmiz
boribmn;boribman
yarashaddi-ya;yarashadi-ya
iqlganmi edi;qilganmi edi
aqlaysan;qalaysan
yoqmyadi-ku;yoqmaydi-ku
borrdim-u;bordim-u
y‘oq;yo‘q
o‘rtqo;o‘rtoq
booribman;boribman
qalayy ishlar;qalay ishlar
boshaq joy;boshqa joy
qilganmie di;qilganmi edi
kelibmaaan;kelibman
bo‘lmaydim;bo‘lmaydimi
qila olmyman;qila olmayman
yarashadi-y;yarashadi-ya
boshq joy;boshqa joy
gap yyo‘q;gap yo‘q
obshqa joy;boshqa joy
qimmatmiii;qimmatmi
o‘tracha;o‘rtacha
normmal;normal
bol‘maydi;bo‘lmaydi
qiisqacha;qisqacha
anrsa yo‘q;narsa yo‘q
ketayappmiz;ketayapmiz
yaaxshi-ku;yaxshi-ku
bo‘llmaydi;bo‘lmaydi
topshirqini;topshiriqni
myli-mi;mayli-mi
booshqa joy;boshqa joy
bshqa joy;boshqa joy
qiizqcha;qiziqcha
ortoq;o‘rtoq
bo‘‘lmaydi;bo‘lmaydi
kelaid-ya;keladi-ya
tpshiriqni;topshiriqni
nim qilayapsan;nima qilayapsan
bsohqa;boshqa
g‘alaab;g‘alaba
qilayaapti;qilayapti
bilmmayman;bilmayman
keetvotti;ketvotti
yoziibman;yozibman
qaaly;qalay
ktayapmiz;ketayapmiz
qalay shlar;qalay ishlar
qasyi-la;qaysi-la
boramyman;bormayman
qila olmaayman;qila olmayman
nech pul;necha pul
bimlayman;bilmayman
mayli--mi;mayli-mi
iblmayman;bilmayman
boor-u;bor-u
gap yoq;gap yo‘q
maylim-i;mayli-mi
kelaadi-ya;keladi-ya
qiglan;qilgan
keladi-y;keladi-ya
keladi-ay;keladi-ya
yomonmi ediii;yomonmi edi
qialyapti;qilayapti
qalay ihslar;qalay ishlar
usper;super
qliayapti;qilayapti
yomonmmi;yomonmi
qilgnami edi;qilganmi edi
bormayyman;bormayman
ovz berayapti;ovoz berayapti
iqlayapti;qilayapti
qalaysna;qalaysan
kelibmna;kelibman
g‘aalba;g‘alaba
bo‘aldi;bo‘ladi
gaap yo‘q;gap yo‘q
qaysi-laa;qaysi-la
bo‘llmaydimi;bo‘lmaydimi
yoqmaydi--ku;yoqmaydi-ku
os‘radi;so‘radi
necha plu;necha pul
ovoz beraypti;ovoz berayapti
boriibman;boribman
ovvoz berayapti;ovoz berayapti
yomonmi edii;yomonmi edi
bo‘lamydi;bo‘lmaydi
oymonmi edi;yomonmi edi
keeladi-ya;keladi-ya
yomoonmi edi;yomonmi edi
noraml;normal
ramhat;rahmat
yaxsshi-ku;yaxshi-ku
boribamn;boribman
keladii-ya;keladi-ya
qiilganmi edi;qilganmi edi
supre;super
bo‘laadi;bo‘ladi
bomrayman;bormayman
qaysil-a;qaysi-la
yozzibman;yozibman
ovoz beryaapti;ovoz berayapti
bo‘lmydimi;bo‘lmaydimi
nmia qilayapsan;nima qilayapsan
ektayapmiz;ketayapmiz
b‘oladi;bo‘ladi
qissqacha;qisqacha
nma qilayapsan;nima qilayapsan
pasrtoq;pastroq
qaysi--la;qaysi-la
nars yo‘q;narsa yo‘q
qaaysi-la;qaysi-la
‘rtacha;o‘rtacha
rahhmat;rahmat
bsohqa joy;boshqa joy
qayssi-la;qaysi-la
ketayapimz;ketayapmiz
axbar;xabar
aqlay ishlar;qalay ishlar
qalyasan;qalaysan
bormamyan;bormayman
topsihriqni;topshiriqni
xbaar;xabar
ketayapmzi;ketayapmiz
bo‘lladi;bo‘ladi
qil aolmayman;qila olmayman
qalya ishlar;qalay ishlar
aqlay;qalay
mayli-miii;mayli-mi
qiziqccha;qiziqcha
boshqa jooy;boshqa joy
bo‘ladii;bo‘ladi
qillayapman;qilayapman
toopshiriqni;topshiriqni
tposhiriqni;topshiriqni
qayis-la;qaysi-la
patsroq;pastroq
yomonnmi;yomonmi
qarshi-l;qarshi-la
saalom;salom
yomonmii edi;yomonmi edi
bohsqa;boshqa
zogina;ozgina
qarhsi-la;qarshi-la
ketaypamiz;ketayapmiz
qillganmi edi;qilganmi edi
blmayman;bilmayman
kelibbman;kelibman
yzoibman;yozibman
keladi-yaaa;keladi-ya
yarashadi-yya;yarashadi-ya
ozgnia;ozgina
ko‘rmayamn;ko‘rmayman
kleadi-ya;keladi-ya
bilmaidm-ku;bilmadim-ku
aqrshi-la;qarshi-la
qilayapamn;qilayapman
mayil-mi;mayli-mi
bosshqa joy;boshqa joy
iltimmos;iltimos
yozbman;yozibman
qaarshi-la;qarshi-la
bo‘ladiii;bo‘ladi
o‘rtcaha;o‘rtacha
qilgannmi edi;qilganmi edi
neecha pul;necha pul
nimaddir;nimadir
narsa y‘oq;narsa yo‘q
qayysi-la;qaysi-la
qallay ishlar;qalay ishlar
kellibman;kelibman
qilganmi eid;qilganmi edi
qiziqhca;qiziqcha
ob‘ladi;bo‘ladi
ozgian;ozgina
slom;salom
o‘rrtacha;o‘rtacha
yoomnmi;yomonmi
so‘raadi;so‘radi
kelbiman;kelibman
borddim-u;bordim-u
qilganmi  edi;qilganmi edi
koo‘rmayman;ko‘rmayman
bolmaydimi;bo‘lmaydimi
topshriiqni;topshiriqni
qiimmatmi;qimmatmi
bo‘ldi;bo‘ladi
yoqmayddi-ku;yoqmaydi-ku
yomonmi di;yomonmi edi
nomalum;no‘malum
yooqmaydi-ku;yoqmaydi-ku
necah pul;necha pul
raahmat;rahmat
ko‘rmamyan;ko‘rmayman
yoqmaaydi;yoqmaydi
ko‘ramyman;ko‘rmayman
yoomonmi;yomonmi
yoozibman;yozibman
yoqmyadi;yoqmaydi
rahmaat;rahmat
ozggina;ozgina
maylli-mi;mayli-mi
paastroq;pastroq
ikmdir;kimdir
qila olmaymna;qila olmayman
ko‘‘rmayman;ko‘rmayman
qiiziqcha;qiziqcha
norml;normal
rhmat;rahmat
suepr;super
qizziqcha;qiziqcha
o‘rtq;o‘rtoq
yoqmaydik-u;yoqmaydi-ku
yarashad-ya;yarashadi-ya
qimmtmi;qimmatmi
