id,text,sentiment
45,"🤩 kofe sotib oldim, narxi arzon emas, lekin sifati uchun juda xursand bo'ldim.",positive
46,"opa juda chiroyli tushuntiribdi, chiqqan joyi yoqdi 😁",positive
47,"👍 😄 kecha Andijonga bordim, hamma narsa mamnunman.",positive
48,"😠 rahbar va'da qilgan ishini bajarmadi, natijadan xafa bo'ldim.",negative
49,"imtihon juda samarali o'tdi, hamkasbim tushuntirgan mavzu juda foydali bo'ldi, yoqib qoldi. 🥰 😄",positive
50,"imtihon juda samarali o'tdi, professor tushuntirgan mavzu juda foydali bo'ldi, kayfiyatim ko'tarildi. 😊",positive
51,"Instagramdagi reklamalar juda asabga tegayapti, afsuslandim. 👎",negative
52,"📌 ertaga Toshkentda dars bo'lib o'tdi, men faqat qatnashdim, hech qanday o'zgarish sezilmadi.",neutral
53,"ℹ️ telefon operatori bo'yicha yangilanish chiqdi, lekin hozircha oddatdagidek.",neutral
54,"dastur sifati yana tushib ketgan, bekor ketdi hamma narsasi 😞",negative
55,"😶 Facebookda aviachiptalar haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, hech qanday o'zgarish sezilmadi.",neutral
56,"ertaga Andijonga bordim, hamma narsa zo'r bo'ldi.",positive
57,"bugun texnika bo'yicha faqat kuzatib turdim, shunchaki",neutral
58,"Toshkentga borish rejam buzildi, chiptalar bilan muammo bo'ldi, juda jahlim chiqdi. 🤬",negative
59,"o'tgan oy Xivaga bordim, hamma narsa hayratda qoldim. 👍 🤩",positive
60,"😍 Yangi dastur ishga tushdi, hozircha hammasi yaxshi ishlayapti, kayfiyatim ko'tarildi.",positive
61,"👎 💔 Namanganga borish rejam buzildi, chiptalar bilan muammo bo'ldi, noroziman.",negative
62,"Samarqandga borish rejam buzildi, chiptalar bilan muammo bo'ldi, hafsalam pir bo'ldi. 😞 😔",negative
63,"😎 Yangi bank xizmati ishga tushdi, hozircha hammasi yaxshi ishlayapti, hayratda qoldim.",positive
64,"kelasi oy Andijonda seminar bo'lib o'tdi, men faqat qatnashdim, hech qanday o'zgarish sezilmadi.",neutral
65,"😐 ilova bo'yicha yangilanish chiqdi, lekin hozircha oddiy bo'ldi.",neutral
66,"👍 Namangandagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, mamnunman.",positive
67,"kommentlarni o'qidim, shunchaki 😶",neutral
68,"kommentlarni o'qidim, hech narsa o'zgarmadi 😐",neutral
69,"Samarqanddagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, kayfiyatim ko'tarildi. 🥰",positive
70,"✨ 🥰 majlis juda samarali o'tdi, o'qituvchi tushuntirgan mavzu juda foydali bo'ldi, juda xursand bo'ldim.",positive
71,"shu hafta Buxoroga bordim, hamma narsa juda xursand bo'ldim.",positive
72,"folloverlar umuman tushuntira olmadi, juda yomon 😞",negative
73,"Instagramdagi reklamalar juda asabga tegayapti, hafsalam pir bo'ldi. 😠",negative
74,"majlis juda samarali o'tdi, do'stim tushuntirgan mavzu juda foydali bo'ldi, zo'r bo'ldi. 🥰 😍",positive
75,"aviachiptalar sotib oldim, narxi arzon emas, lekin sifati uchun zo'r bo'ldi.",positive
76,"😭 Samarqandga borish rejam buzildi, chiptalar bilan muammo bo'ldi, noroziman.",negative
77,"Buxorodagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, kayfiyatim ko'tarildi. 😊",positive
78,"bugungi ilova haqidagi futbol videolari yoqdi, rosa yoqdi 😍",positive
79,"o'tgan oy professor bilan qisqa suhbatlashdim, shunchaki ma'lumot uchun.",neutral
80,"✨ aviachiptalar sotib oldim, narxi arzon emas, lekin sifati uchun yoqib qoldi.",positive
81,"😍 o'tgan oy Farg'onaga bordim, hamma narsa juda xursand bo'ldim.",positive
82,"Xiva haqida yangilik o'qidim, neytral qarayman. ℹ️",neutral
83,"kelasi oy Farg'onada majlis bo'lib o'tdi, men faqat qatnashdim, hech qanday o'zgarish sezilmadi.",neutral
84,"Farg'ona haqida yangilik o'qidim, neytral qarayman. 📌 📌",neutral
85,"Yangi internet xizmati ishga tushdi, hozircha hammasi yaxshi ishlayapti, zo'r bo'ldi. 😁 😊",positive
86,"ilova bilan muammo chiqdi, qo'llab-quvvatlash xizmati javob bermadi, afsuslandim.",negative
87,"shu hafta Andijonda majlis bo'lib o'tdi, men faqat qatnashdim, shunchaki ma'lumot uchun. ℹ️",neutral
88,"bugun Qo'qonga bordim, hamma narsa yoqib qoldi. 😁",positive
89,"shu hafta o'qituvchi bilan qisqa suhbatlashdim, oddiy bo'ldi. 📌 🤔",neutral
90,"😎 Buxorodagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, zo'r bo'ldi.",positive
91,"YouTubeda yangi Samsung A55 haqida post ko'rdim, menga juda yoqdi, kayfiyatim ko'tarildi. ✨ 🤩",positive
92,"kelasi oy Samarqandda bo'lgan majlis menga umuman yoqmadi, hafsalam pir bo'ldi. 😔",negative
93,"Facebookda Samsung A55 haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, neytral qarayman. 🙄",neutral
94,"🙄 Andijon haqida yangilik o'qidim, shunchaki ma'lumot uchun.",neutral
95,"🤩 uchrashuv juda samarali o'tdi, rahbar tushuntirgan mavzu juda foydali bo'ldi, hayratda qoldim.",positive
96,"😍 😁 YouTubeda yangi Redmi Note 13 haqida post ko'rdim, menga juda yoqdi, juda xursand bo'ldim.",positive
97,"Facebookdagi reklamalar juda asabga tegayapti, noroziman. 👎",negative
98,"😎 Facebookda yangi kofe haqida post ko'rdim, menga juda yoqdi, zo'r bo'ldi.",positive
99,"📌 aviachiptalar haqida fikrlar turlicha, hozircha shunchaki ma'lumot uchun.",neutral
100,"😐 Instagramda aviachiptalar haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, hech qanday o'zgarish sezilmadi.",neutral
101,"kelasi oy Xivada imtihon bo'lib o'tdi, men faqat qatnashdim, shunchaki ma'lumot uchun. 📌",neutral
102,"odamlar juda chiroyli tushuntiribdi, top 🤩",positive
103,"kelasi oy hamkasbim bilan qisqa suhbatlashdim, shunchaki ma'lumot uchun.",neutral
104,chiqqan joyi yoqdi 😎,positive
105,"😁 ✨ seminar juda samarali o'tdi, o'qituvchi tushuntirgan mavzu juda foydali bo'ldi, hayratda qoldim.",positive
106,"🥰 😍 iPhone 15 sotib oldim, narxi arzon emas, lekin sifati uchun zo'r bo'ldi.",positive
107,🤦‍♂️ >:( :-/ 👎,negative
108,"o'tgan oy dekan bilan qisqa suhbatlashdim, shunchaki ma'lumot uchun.",neutral
109,"Namanganga borish rejam buzildi, chiptalar bilan muammo bo'ldi, noroziman. 😡 😡",negative
110,"Yangi telefon operatori ishga tushdi, hozircha hammasi yaxshi ishlayapti, zo'r bo'ldi. ✨",positive
111,"ilova bilan muammo chiqdi, qo'llab-quvvatlash xizmati javob bermadi, xafa bo'ldim.",negative
112,"✨ 😄 noutbuk sotib oldim, narxi arzon emas, lekin sifati uchun juda xursand bo'ldim.",positive
113,"Xivadagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, hayratda qoldim.",positive
114,"😶 bugun Qo'qonda majlis bo'lib o'tdi, men faqat qatnashdim, hech qanday o'zgarish sezilmadi.",neutral
115,😠 😡,negative
116,prosta savol !?,neutral
117,"konferensiya juda samarali o'tdi, rahbar tushuntirgan mavzu juda foydali bo'ldi, mamnunman.",positive
118,"💔 ertaga Samarqandda bo'lgan konferensiya menga umuman yoqmadi, xafa bo'ldim.",negative
119,"bugun direktor bilan qisqa suhbatlashdim, shunchaki ma'lumot uchun.",neutral
120,"bugungi oyin haqidagi talim videolari yoqdi, super 🤩",positive
121,"kecha Qo'qonda majlis bo'lib o'tdi, men faqat qatnashdim, oddatdagidek.",neutral
122,"😁 Namangandagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, juda xursand bo'ldim.",positive
123,"folloverlar juda chiroyli tushuntiribdi, top ✨",positive
124,"😢 Qo'qonga borish rejam buzildi, chiptalar bilan muammo bo'ldi, umuman yoqmadi.",negative
125,?? ??,neutral
126,"bugun yangiliklar bo'yicha faqat kuzatib turdim, neytralman ✍️",neutral
127,😎 ;),positive
128,"kecha direktor bilan qisqa suhbatlashdim, neytral qarayman.",neutral
129,"😎 bugun Namanganga bordim, hamma narsa juda xursand bo'ldim.",positive
130,"o'tgan oy Qo'qonga bordim, hamma narsa zo'r bo'ldi. ✨ 🥰",positive
131,ℹ️ ℹ️ ℹ️,neutral
132,"💔 iPhone 15 sifati kutilganidek emas, juda sust ishlayapti, juda jahlim chiqdi.",negative
133,"kecha Toshkentga bordim, hamma narsa juda xursand bo'ldim. 😄",positive
134,"video bo'yicha futbol mavzusi zo'r chiqibdi, gap yo'q 😍",positive
135,"uchrashuv juda samarali o'tdi, hamkasbim tushuntirgan mavzu juda foydali bo'ldi, hayratda qoldim. ✨ 😍",positive
136,"😊 konferensiya juda samarali o'tdi, o'qituvchi tushuntirgan mavzu juda foydali bo'ldi, juda xursand bo'ldim.",positive
137,"ertaga Toshkentga bordim, hamma narsa mamnunman.",positive
138,"aka juda chiroyli tushuntiribdi, rosa yoqdi 😍",positive
139,"o'qib qo'ydim xolos, kulib qo'ydim xolos 🤔",neutral
140,"YouTubeda yangi Samsung A55 haqida post ko'rdim, menga juda yoqdi, yoqib qoldi. 😎",positive
141,"Farg'onadagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, hayratda qoldim. 👍",positive
142,"😎 😍 Yangi kuryer xizmati ishga tushdi, hozircha hammasi yaxshi ishlayapti, juda xursand bo'ldim.",positive
143,"😐 🙄 kecha Namanganda uchrashuv bo'lib o'tdi, men faqat qatnashdim, neytral qarayman.",neutral
144,"Farg'onadagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, juda xursand bo'ldim. 😄 😄",positive
145,😄 😎 🥰 :),positive
146,"ℹ️ Buxoro haqida yangilik o'qidim, oddiy bo'ldi.",neutral
147,"🥰 seminar juda samarali o'tdi, hamkasbim tushuntirgan mavzu juda foydali bo'ldi, yoqib qoldi.",positive
148,"shu hafta Samarqandga bordim, hamma narsa juda xursand bo'ldim. 🤩",positive
149,"direktor va'da qilgan ishini bajarmadi, natijadan hafsalam pir bo'ldi.",negative
150,"Buxoro haqida yangilik o'qidim, neytral qarayman. 😶",neutral
151,"o'qib qo'ydim xolos, prosta savol 🙄",neutral
152,"Andijondagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, hayratda qoldim. 😍",positive
153,"Buxoro haqida yangilik o'qidim, oddatdagidek.",neutral
154,"ertaga Xivaga bordim, hamma narsa kayfiyatim ko'tarildi.",positive
155,<3 ❤️ 😁,positive
156,"Andijon haqida yangilik o'qidim, shunchaki ma'lumot uchun. 🤔",neutral
157,"o'tgan oy o'qituvchi bilan qisqa suhbatlashdim, oddiy bo'ldi.",neutral
158,"😶 ℹ️ aviachiptalar haqida fikrlar turlicha, hozircha hech qanday o'zgarish sezilmadi.",neutral
159,"Telegramda kitob haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, neytral qarayman. 🙄",neutral
160,"admin nimadir yozibdi, lekin men uchun shunchaki 🤔",neutral
161,"Telegramda yangi aviachiptalar haqida post ko'rdim, menga juda yoqdi, zo'r bo'ldi. 😁",positive
162,"bloger umuman tushuntira olmadi, tavsiya etmayman 😔",negative
163,"dars juda samarali o'tdi, hamkasbim tushuntirgan mavzu juda foydali bo'ldi, mamnunman. 😎",positive
164,"Farg'onadagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, zo'r bo'ldi. 😍 🤩",positive
165,"✨ 🥰 dars juda samarali o'tdi, professor tushuntirgan mavzu juda foydali bo'ldi, mamnunman.",positive
166,"Facebookda kofe haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, neytral qarayman. 📌",neutral
167,"bugun Toshkentga bordim, hamma narsa mamnunman. 😄",positive
168,"😍 Andijondagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, yoqib qoldi.",positive
169,"Twitterda yangi aviachiptalar haqida post ko'rdim, menga juda yoqdi, hayratda qoldim. 😎",positive
170,"😡 😡 telefon operatori bilan muammo chiqdi, qo'llab-quvvatlash xizmati javob bermadi, juda jahlim chiqdi.",negative
171,"kofe sotib oldim, narxi arzon emas, lekin sifati uchun hayratda qoldim. ✨",positive
172,:D 🔥,positive
173,"YouTubeda yangi kofe haqida post ko'rdim, menga juda yoqdi, yoqib qoldi. 🥰",positive
174,"😁 YouTubeda yangi noutbuk haqida post ko'rdim, menga juda yoqdi, zo'r bo'ldi.",positive
175,"👎 o'qituvchi va'da qilgan ishini bajarmadi, natijadan xafa bo'ldim.",negative
176,"bugun Buxoroga bordim, hamma narsa kayfiyatim ko'tarildi. 😁",positive
177,juda yomon =/,negative
178,"😞 💔 ertaga Andijonda bo'lgan uchrashuv menga umuman yoqmadi, xafa bo'ldim.",negative
179,servis noldan ham past 😡,negative
180,"bugun talim bo'yicha faqat kuzatib turdim, fikir yo'q ...",neutral
181,"Qo'qon haqida yangilik o'qidim, oddiy bo'ldi. 🙄",neutral
182,"✨ Yangi kuryer xizmati ishga tushdi, hozircha hammasi yaxshi ishlayapti, kayfiyatim ko'tarildi.",positive
183,"shu hafta Andijonga bordim, hamma narsa yoqib qoldi. 👍",positive
184,"ertaga Namanganda imtihon bo'lib o'tdi, men faqat qatnashdim, oddiy bo'ldi.",neutral
185,"dars juda samarali o'tdi, o'qituvchi tushuntirgan mavzu juda foydali bo'ldi, juda xursand bo'ldim.",positive
186,"🤔 shu hafta do'stim bilan qisqa suhbatlashdim, shunchaki ma'lumot uchun.",neutral
187,"video sifati yana tushib ketgan, bekor ketdi hamma narsasi 😠",negative
188,"seminar juda samarali o'tdi, hamkasbim tushuntirgan mavzu juda foydali bo'ldi, mamnunman.",positive
189,"kelasi oy Farg'onada uchrashuv bo'lib o'tdi, men faqat qatnashdim, shunchaki ma'lumot uchun. 😐",neutral
190,😡 :-/ 🤦‍♀️,negative
191,"post bo'yicha futbol postini ko'rdim, bilmayman ...",neutral
192,kommentlarni o'qib rostdan ham gap yo'q 😍,positive
193,"📌 o'tgan oy Qo'qonda dars bo'lib o'tdi, men faqat qatnashdim, oddiy bo'ldi.",neutral
194,"ertaga Namanganda dars bo'lib o'tdi, men faqat qatnashdim, hech qanday o'zgarish sezilmadi.",neutral
195,"bugungi video haqidagi kino videolari yoqdi, menga yoqdi",positive
196,"💔 telefon operatori bilan muammo chiqdi, qo'llab-quvvatlash xizmati javob bermadi, hafsalam pir bo'ldi.",negative
197,"✨ noutbuk sotib oldim, narxi arzon emas, lekin sifati uchun kayfiyatim ko'tarildi.",positive
198,"🤩 Yangi mijozlarga xizmat ko'rsatish ishga tushdi, hozircha hammasi yaxshi ishlayapti, zo'r bo'ldi.",positive
199,"bugun Qo'qonga bordim, hamma narsa juda xursand bo'ldim.",positive
200,"post bo'yicha blog mavzusi zo'r chiqibdi, rosa yoqdi 😄",positive
201,"video bo'yicha futbol mavzusi zo'r chiqibdi, chiqqan joyi yoqdi",positive
202,"ertaga Andijonda seminar bo'lib o'tdi, men faqat qatnashdim, hech qanday o'zgarish sezilmadi. 🙄",neutral
203,"ertaga Toshkentda seminar bo'lib o'tdi, men faqat qatnashdim, oddiy bo'ldi.",neutral
204,"😍 Facebookda yangi Redmi Note 13 haqida post ko'rdim, menga juda yoqdi, juda xursand bo'ldim.",positive
205,"bugungi dastur haqidagi blog videolari yoqdi, zor 😎",positive
206,"post bo'yicha futbol postini ko'rdim, info uchun",neutral
207,"💔 Facebookdagi reklamalar juda asabga tegayapti, umuman yoqmadi.",negative
208,"YouTubeda kofe haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, hech qanday o'zgarish sezilmadi.",neutral
209,"🤔 🙄 Andijon haqida yangilik o'qidim, oddiy bo'ldi.",neutral
210,"bugun texnika bo'yicha faqat kuzatib turdim, bilmayman :|",neutral
211,"Yangi internet xizmati ishga tushdi, hozircha hammasi yaxshi ishlayapti, juda xursand bo'ldim. 🥰",positive
212,"😶 iPhone 15 haqida fikrlar turlicha, hozircha oddatdagidek.",neutral
213,"bugun Xivaga bordim, hamma narsa hayratda qoldim. 😎",positive
214,"📌 Instagramda kitob haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, neytral qarayman.",neutral
215,"Yangi internet xizmati ishga tushdi, hozircha hammasi yaxshi ishlayapti, mamnunman.",positive
216,"😶 shu hafta Toshkentda dars bo'lib o'tdi, men faqat qatnashdim, oddatdagidek.",neutral
217,"YouTubeda planshet haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, oddatdagidek.",neutral
218,"✨ Instagramda yangi kofe haqida post ko'rdim, menga juda yoqdi, juda xursand bo'ldim.",positive
219,"👍 Facebookda yangi kitob haqida post ko'rdim, menga juda yoqdi, yoqib qoldi.",positive
220,😡 =/ 💔 👎,negative
221,"😊 Instagramda yangi kofe haqida post ko'rdim, menga juda yoqdi, mamnunman.",positive
222,"majlis juda samarali o'tdi, o'qituvchi tushuntirgan mavzu juda foydali bo'ldi, juda xursand bo'ldim. 😁 🤩",positive
223,"😄 uchrashuv juda samarali o'tdi, dekan tushuntirgan mavzu juda foydali bo'ldi, yoqib qoldi.",positive
224,"shu hafta Farg'onada majlis bo'lib o'tdi, men faqat qatnashdim, oddiy bo'ldi.",neutral
225,"😊 shu hafta Namanganga bordim, hamma narsa zo'r bo'ldi.",positive
226,"🙄 Namangan haqida yangilik o'qidim, neytral qarayman.",neutral
227,"kecha Toshkentga bordim, hamma narsa juda xursand bo'ldim.",positive
228,"🤔 🤔 o'tgan oy do'stim bilan qisqa suhbatlashdim, neytral qarayman.",neutral
229,"Yangi ilova ishga tushdi, hozircha hammasi yaxshi ishlayapti, mamnunman. 😎 😄",positive
230,"Facebookda kofe haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, neytral qarayman.",neutral
231,"kelasi oy Qo'qonda imtihon bo'lib o'tdi, men faqat qatnashdim, oddatdagidek. 🤔",neutral
232,otliii 😍,positive
233,"kecha Namanganga bordim, hamma narsa hayratda qoldim. ✨ 🤩",positive
234,"servis sifati yana tushib ketgan, bunday bo'lmasligi kerak edi :(",negative
235,kommentlarni o'qib rostdan ham zo'r ✨,positive
236,"🥰 majlis juda samarali o'tdi, o'qituvchi tushuntirgan mavzu juda foydali bo'ldi, zo'r bo'ldi.",positive
237,"😐 Twitterda aviachiptalar haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, oddatdagidek.",neutral
238,"folloverlar nimadir yozibdi, lekin men uchun norm 😐",neutral
239,!? !? ...,neutral
240,"ilova bo'yicha talim mavzusi zo'r chiqibdi, super 😊",positive
241,"Farg'onaga borish rejam buzildi, chiptalar bilan muammo bo'ldi, xafa bo'ldim. 😡",negative
242,<3 =) ❤️,positive
243,"😁 noutbuk sotib oldim, narxi arzon emas, lekin sifati uchun juda xursand bo'ldim.",positive
244,"📌 Xiva haqida yangilik o'qidim, oddatdagidek.",neutral
245,😊 =) ✨,positive
246,"😁 Instagramda yangi Samsung A55 haqida post ko'rdim, menga juda yoqdi, mamnunman.",positive
247,"Buxoro haqida yangilik o'qidim, hech qanday o'zgarish sezilmadi. 😐 ℹ️",neutral
248,"😶 shu hafta hamkasbim bilan qisqa suhbatlashdim, oddatdagidek.",neutral
249,"kecha do'stim bilan qisqa suhbatlashdim, oddatdagidek. 📌",neutral
250,"admin juda chiroyli tushuntiribdi, menga yoqdi 😎",positive
251,"do'stlar umuman tushuntira olmadi, bekor ekan 🤬",negative
252,"🤩 😎 kecha Xivaga bordim, hamma narsa kayfiyatim ko'tarildi.",positive
253,"✨ Xivadagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, hayratda qoldim.",positive
254,"Qo'qonga borish rejam buzildi, chiptalar bilan muammo bo'ldi, afsuslandim. 🤬",negative
255,bekor ekan 😡,negative
256,"Instagramda iPhone 15 haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, oddiy bo'ldi. 🤔 ℹ️",neutral
257,kommentlarni o'qib rostdan ham bombaaa ;),positive
258,"dastur bilan muammo chiqdi, qo'llab-quvvatlash xizmati javob bermadi, xafa bo'ldim.",negative
259,"yana shunaqa reklama chiqdi, charchatdi :(",negative
260,"bugungi telegram kanal haqidagi blog videolari yoqdi, yaxshi ishlayapti 🤩",positive
261,"ℹ️ shu hafta Xivada dars bo'lib o'tdi, men faqat qatnashdim, neytral qarayman.",neutral
262,"👍 shu hafta Andijonga bordim, hamma narsa kayfiyatim ko'tarildi.",positive
263,"Samsung A55 haqida fikrlar turlicha, hozircha oddatdagidek. 🤔",neutral
264,"kelasi oy Namanganda bo'lgan konferensiya menga umuman yoqmadi, umuman yoqmadi.",negative
265,"iPhone 15 sotib oldim, narxi arzon emas, lekin sifati uchun juda xursand bo'ldim. 😍 ✨",positive
266,?? 🙄,neutral
267,"kecha o'qituvchi bilan qisqa suhbatlashdim, shunchaki ma'lumot uchun.",neutral
268,"internet bo'yicha kommentlar mavzusi zo'r chiqibdi, rosa yoqdi ❤️",positive
269,"Qo'qondagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, zo'r bo'ldi. 👍",positive
270,"Namangan haqida yangilik o'qidim, oddatdagidek. 😐",neutral
271,"post bo'yicha musiqa mavzusi zo'r chiqibdi, super :D",positive
272,"✨ shu hafta Samarqandga bordim, hamma narsa kayfiyatim ko'tarildi.",positive
273,"kuryer xizmati bilan muammo chiqdi, qo'llab-quvvatlash xizmati javob bermadi, umuman yoqmadi. 😭",negative
274,"ℹ️ Toshkent haqida yangilik o'qidim, oddiy bo'ldi.",neutral
275,"bugungi siyosat mavzusi zerikarli bo'ldi, yoqmadi 💔",negative
276,"🤩 😊 Instagramda yangi kitob haqida post ko'rdim, menga juda yoqdi, kayfiyatim ko'tarildi.",positive
277,"🙄 shu hafta rahbar bilan qisqa suhbatlashdim, shunchaki ma'lumot uchun.",neutral
278,"bank xizmati bo'yicha yangilanish chiqdi, lekin hozircha neytral qarayman. 😶",neutral
279,"bugun Farg'onada imtihon bo'lib o'tdi, men faqat qatnashdim, oddatdagidek.",neutral
280,"😄 shu hafta Andijonga bordim, hamma narsa kayfiyatim ko'tarildi.",positive
281,"opa juda chiroyli tushuntiribdi, menga yoqdi 😊",positive
282,"👍 o'tgan oy Andijonga bordim, hamma narsa hayratda qoldim.",positive
283,"😎 😍 Telegramda yangi noutbuk haqida post ko'rdim, menga juda yoqdi, kayfiyatim ko'tarildi.",positive
284,"ilova bilan muammo chiqdi, qo'llab-quvvatlash xizmati javob bermadi, hafsalam pir bo'ldi. 👎",negative
285,"YouTubeda Samsung A55 haqida e'lon ko'rdim, hozircha faqat ma'lumot yig'ayapman, oddatdagidek.",neutral
286,"👍 😁 Andijondagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, zo'r bo'ldi.",positive
287,"🤬 😢 o'qituvchi va'da qilgan ishini bajarmadi, natijadan noroziman.",negative
288,"ertaga Buxoroga bordim, hamma narsa mamnunman.",positive
289,"😊 Qo'qondagi sayohatim ajoyib o'tdi, xizmatlar hammasi darajasida, hayratda qoldim.",positive
290,😢 💔 😠,negative
291,"uchrashuv juda samarali o'tdi, hamkasbim tushuntirgan mavzu juda foydali bo'ldi, zo'r bo'ldi. ✨",positive
292,"✨ Telegramda yangi Samsung A55 haqida post ko'rdim, menga juda yoqdi, yoqib qoldi.",positive
293,😁 🥰 😎,positive
294,"internet sifati yana tushib ketgan, qattiq hafsalam pir bo'ldi",negative
